screen_name,name,location,created
ThatGoonerKev,The Nelsön Era 🦋,Going 49 Undefeated,2020-11-15
NICHOLASKARTHU1,Dhatbwoyblinkx Jnr,"Accra, Ghana",2020-11-15
umer_musharaf,Umerrrr,"Bradford, England",2020-11-15
KaysEra12,Ama strong ♥️,"Tema, Ghana",2020-11-15
CFC_Wizard,𝘏𝘡²²🔥,Stamford Bridge ,2020-11-15
CFCjoe1310,Joe💙,Stamford Bridge💙,2020-11-15
VBETnews,VBET News,"London, England",2020-11-15
Stefanonyc212,Steven Miller,NYC,2020-11-15
FelixBet4,Felix Bet,,2020-11-15
FanzyW,F A N Z Y ⭐️,,2020-11-15
ManoDelamonte,Roman Wegotziyech,"Over land, sea & Leicester",2020-11-15
pv1004,pv1004,"England, United Kingdom",2020-11-15
Modestmind1,Modesty,,2020-11-15
silversun__,Silver,,2020-11-15
AntShotFirst,Cobb Vanthony,,2020-11-15
Ezeq_T7,Ezequiel,Somewhere,2020-11-15
SportsBet_Legal,SportsBetting.Legal,,2020-11-15
_thedivorceguy,Ross,Islamabad,2020-11-15
_Nightwing10_,Alifian Rikaz Iskananda,"London, England",2020-11-15
ennison_ishmeal,Ishmael,Ghana🇬🇭🇬🇭🇬🇭,2020-11-15
alex54312225582,cho the 🐐,,2020-11-15
Onlyvycewerner,🦍,"Stamford Bridge, Ekó",2020-11-15
SamuelP40070436,Samuel Park,,2020-11-15
GamingDhaba57,Gaming Dhaba,India,2020-11-15
KesseScott,KESSE..SCOTT ⭐,"Westham, England",2020-11-15
MPMadnessPod,Moving Picture Madness,United Kingdom,2020-11-15
SketchRetweets,Sketch Retweets,DeviantArt,2020-11-15
AmponsahOrtin,henry ortin,Ghana,2020-11-15
DavidMarstonArt,David Marston,,2020-11-15
comma_nfansu,Mr Ugly,London,2020-11-15
InfoSep94524346,Info SepakBola⚽️,,2020-11-15
MarboahAsare,Asare Bediako Marboah,,2020-11-15
SamaB60,Sama B.,Abu dhabi,2020-11-15
cfsfashionorder,CELEBRITY FASHION STORE,"Loughton, East",2020-11-15
AlistairDevon,Alistair 🇩🇪🇺🇸,,2020-11-15
missionswl,Chelsea and Fulham Methodist,"Fulham, London UK",2020-11-15
lorfadi,GILLY,Rhonda,2020-11-15
